# MODAL ANALYSIS REPORT

* 1. DOMAIN SIZE:
# This is the size of the problem: 1 for 1D problems, 2 for 2D problems, 3 for 3D problems.
3


* 2. EIGENVALUE ANALYSIS:
#          MODE        LAMBDA         OMEGA     FREQUENCY        PERIOD
# ------------- ------------- ------------- ------------- -------------
              1       71.1737       8.43645        1.3427      0.744766
              2       182.193       13.4979       2.14826      0.465494
              3       289.299       17.0088       2.70703      0.369408
              4       320.636       17.9063       2.84988      0.350892
              5       475.803       21.8129       3.47163      0.288049
              6       806.988       28.4075        4.5212       0.22118
              7       864.165       29.3967       4.67863      0.213738
              8       886.742       29.7782       4.73935      0.210999
              9       2064.93       45.4415       7.23225       0.13827
             10       2124.07       46.0876       7.33508      0.136331
             11       2207.23       46.9812       7.47729      0.133738
             12       7922.02       89.0057       14.1657      0.070593
             13       12574.2       112.135       17.8468     0.0560325
             14       12792.5       113.104       18.0011     0.0555522
             15       48900.9       221.135       35.1948     0.0284133
             16       50183.5       224.017       35.6534     0.0280478
             17       67862.1       260.504       41.4604     0.0241194
             18       74264.7       272.516       43.3722     0.0230562
             19       80458.2       283.651       45.1445     0.0221511
             20       80466.1       283.665       45.1468       0.02215


* 3. TOTAL MASS OF THE STRUCTURE:
# The total masses (translational and rotational) of the structure
# including the masses at fixed DOFs (if any).
#            MX            MY            MZ           RMX           RMY           RMZ
# ------------- ------------- ------------- ------------- ------------- -------------
        1220.17       1220.17       1220.17       3765.13        402370        402324


* 4. TOTAL FREE MASS OF THE STRUCTURE:
# The total masses (translational and rotational) of the structure
# including only the masses at free DOFs.
#            MX            MY            MZ           RMX           RMY           RMZ
# ------------- ------------- ------------- ------------- ------------- -------------
        1203.22       1203.22       1203.22       2490.82        401096        402324


* 5. CENTER OF MASS:
# The center of mass of the structure, calculated from free masses.
#             X             Y             Z
# ------------- ------------- -------------
             34             0     -0.304649


* 6. MODAL PARTICIPATION FACTORS:
# The participation factor for a certain mode 'a' in a certain direction 'i'
# indicates how strongly displacement along (or rotation about)
# the global axes is represented in the eigenvector of that mode.
#          MODE            MX            MY            MZ           RMX           RMY           RMZ
# ------------- ------------- ------------- ------------- ------------- ------------- -------------
             12        1195.9       1203.19       727.469       2489.99        207626        402315
             13        1198.3       1203.19        727.47          2490        242854        402315
             14        1198.3       1203.19       729.714          2490        242864        402315
             15        1198.3       1203.19       1003.25          2490        242864        402315
             16       1201.35       1203.19       1003.25          2490        253734        402315
             17       1201.35       1203.19       1031.95          2490        253734        402315
             18       1203.08       1203.19       1031.95          2490        257299        402315
             19       1203.08       1203.19       1031.95          2490        257299        402319
             20       1203.08        1203.2       1031.95          2490        257299        402324


* 9. MODAL PARTICIPATION MASS RATIOS (%):
# The modal participation mass ratios (%) for each mode.
#          MODE            MX            MY            MZ           RMX           RMY           RMZ
# ------------- ------------- ------------- ------------- ------------- ------------- -------------
              1   1.70052e-08       77.7451   1.53524e-09       4.82041   6.13808e-08   1.63626e-08
              2       97.4519             0   7.09006e-09    8.7375e-10      0.233878   7.33608e-08
              3             0   5.25488e-09             0    3.0562e-09   3.35914e-10       82.7937
              4   7.80587e-07     4.795e-07   0.000806861    5.6602e-08   9.40654e-07   2.03205e-07
              5   5.08872e-07       16.6786   9.91507e-08      0.402012   1.40771e-06   3.20164e-07
              6   4.26558e-07   2.35003e-07   9.14233e-09   2.65446e-09   2.01688e-06       17.1417
              7      0.298087   2.50398e-07   1.68575e-06   1.93639e-08       49.7331    7.0999e-07
              8   3.05328e-08   1.46958e-08       60.4595   1.53961e-09   1.39138e-06   2.02397e-09
              9         1.642   2.78967e-09             0   2.34174e-05       1.79759   2.89811e-08
             10   1.96673e-07      0.235008   1.02338e-08      0.855616   1.83346e-07   3.29817e-07
             11   1.44847e-07   7.62174e-09   1.34222e-10   3.84913e-05    2.6258e-07      0.062422
             12    1.1281e-07       5.33891   1.39499e-07       93.8883   3.92462e-05   4.90214e-08
             13      0.199254   2.57009e-05   5.86446e-05   0.000348552       8.78311   7.02396e-09
             14   5.20106e-05   9.58699e-07      0.186525   1.28631e-05    0.00235985   2.50607e-10
             15   2.80701e-06   1.45328e-08       22.7335    1.2818e-07    4.3225e-05             0
             16      0.253568   2.05031e-07   0.000222879   1.80246e-06          2.71             0
             17   3.84908e-08   1.44819e-09       2.38504   1.16264e-08   3.88545e-09             0
             18      0.143366   7.50752e-07   7.58203e-06   5.12853e-06      0.888807   4.81324e-09
             19   3.23287e-06   0.000328109   6.58246e-07   1.26733e-05   5.75526e-05    0.00081505
             20    3.4323e-07   0.000209938    7.0234e-08   1.02321e-05   6.11662e-06    0.00125562


* 10. MODAL PARTICIPATION MASS RATIOS (%) (cumulative):
# The cumulative modal participation mass ratios (%) for each mode.
#          MODE            MX            MY            MZ           RMX           RMY           RMZ
# ------------- ------------- ------------- ------------- ------------- ------------- -------------
              1   1.70052e-08       77.7451   1.53524e-09       4.82041   6.13808e-08   1.63626e-08
              2       97.4519       77.7451   8.62529e-09       4.82041      0.233878   8.97234e-08
              3       97.4519       77.7451    8.6588e-09       4.82041      0.233878       82.7937
              4       97.4519       77.7451    0.00080687       4.82041      0.233879       82.7937
              5       97.4519       94.4237   0.000806969       5.22242       0.23388       82.7937
              6       97.4519       94.4237   0.000806978       5.22242      0.233882       99.9355
              7         97.75       94.4237   0.000808664       5.22242       49.9669       99.9355
              8         97.75       94.4237       60.4603       5.22242       49.9669       99.9355
              9        99.392       94.4237       60.4603       5.22245       51.7645       99.9355
             10        99.392       94.6587       60.4603       6.07806       51.7645       99.9355
             11        99.392       94.6587       60.4603        6.0781       51.7645       99.9979
             12        99.392       99.9976       60.4603       99.9664       51.7646       99.9979
             13       99.5912       99.9976       60.4603       99.9668       60.5477       99.9979
             14       99.5913       99.9976       60.6469       99.9668         60.55       99.9979
             15       99.5913       99.9976       83.3803       99.9668       60.5501       99.9979
             16       99.8448       99.9976       83.3806       99.9668       63.2601       99.9979
             17       99.8448       99.9976       85.7656       99.9668       63.2601       99.9979
             18       99.9882       99.9976       85.7656       99.9668       64.1489       99.9979
             19       99.9882        99.998       85.7656       99.9668       64.1489       99.9987
             20       99.9882       99.9982       85.7656       99.9668       64.1489           100


