Record Sequence Number;H1 Filename;H2 Filename;Magnitude;Rjb;Vs30;Mechanism;Scale Factors
4890;RSN4890_CHUETSU_70025NS.AT2;RSN4890_CHUETSU_70025EW.AT2;6.8;66.1;526.13;normal;2.73
1264;RSN1264_CHICHI_HWA013-E.AT2;RSN1264_CHICHI_HWA013-N.AT2;7.62;50.5;330.55;reverse;2.44
96;RSN96_MANAGUA_B-ESO090.AT2;RSN96_MANAGUA_B-ESO180.AT2;5.2;4.33;288.77;unspecified;2.93
5784;RSN5784_IWATE_54031NS.AT2;RSN5784_IWATE_54031EW.AT2;6.9;35.11;303.6;normal;2.39
5821;RSN5821_IWATE_4DF11NS.AT2;RSN5821_IWATE_4DF11EW.AT2;6.9;78.05;311.6;normal;3.98
862;RSN862_LANDERS_IND000.AT2;RSN862_LANDERS_IND090.AT2;7.28;54.25;339.02;unspecified;3.72
5806;RSN5806_IWATE_55461NS.AT2;RSN5806_IWATE_55461EW.AT2;6.9;22.41;655.45;normal;2.21
754;RSN754_LOMAP_CLD195.AT2;RSN754_LOMAP_CLD285.AT2;6.93;20.44;295.01;reverse;3.17
8164;RSN8164_DUZCE_487-NS.AT2;RSN8164_DUZCE_487-EW.AT2;7.14;2.65;690.0;unspecified;2.41
4159;RSN4159_NIIGATA_FKS028NS.AT2;RSN4159_NIIGATA_FKS028EW.AT2;6.63;30.11;305.54;normal;3.78
988;RSN988_NORTHR_CCN090.AT2;RSN988_NORTHR_CCN360.AT2;6.69;15.53;277.98;normal;2.11
5672;RSN5672_IWATE_MYG013NS.AT2;RSN5672_IWATE_MYG013EW.AT2;6.9;63.53;252.68;normal;2.7
1549;RSN1549_CHICHI_TCU129-E.AT2;RSN1549_CHICHI_TCU129-N.AT2;7.62;1.83;511.18;reverse;1.13
3475;RSN3475_CHICHI.06_TCU080N.AT2;RSN3475_CHICHI.06_TCU080E.AT2;6.3;0.0;489.32;normal;1.88
3671;RSN3671_SMART1.45_45I12EW.AT2;RSN3671_SMART1.45_45I12NS.AT2;7.3;56.2;275.82;normal;2.4
4893;RSN4893_CHUETSU_70031NS.AT2;RSN4893_CHUETSU_70031EW.AT2;6.8;61.16;561.59;normal;2.4
4126;RSN4126_PARK2004_SC1090.AT2;RSN4126_PARK2004_SC1360.AT2;6.0;2.85;260.63;unspecified;1.92
8123;RSN8123_CCHURCH_REHSN02E.AT2;RSN8123_CCHURCH_REHSS88E.AT2;6.2;5.11;141.0;reverse;0.67
451;RSN451_MORGAN_CYC195.AT2;RSN451_MORGAN_CYC285.AT2;6.19;0.18;561.43;unspecified;0.83
803;RSN803_LOMAP_WVC000.AT2;RSN803_LOMAP_WVC270.AT2;6.93;8.48;347.9;reverse;1.25
589;RSN589_WHITTIER.A_A-ALH180.AT2;RSN589_WHITTIER.A_A-ALH270.AT2;5.99;1.67;549.75;reverse;2.48
223;RSN223_LIVERMOR_B-KOD180.AT2;RSN223_LIVERMOR_B-KOD270.AT2;5.42;14.31;377.51;unspecified;3.74
642;RSN642_WHITTIER.A_A-W70000.AT2;RSN642_WHITTIER.A_A-W70270.AT2;5.99;16.77;241.41;reverse;3.22
2382;RSN2382_CHICHI.02_TCU065N.AT2;RSN2382_CHICHI.02_TCU065E.AT2;5.9;32.84;305.85;normal;2.99
412;RSN412_COALINGA_D-PVY045.AT2;RSN412_COALINGA_D-PVY135.AT2;5.77;13.16;257.38;normal;3.3
5780;RSN5780_IWATE_54015NS.AT2;RSN5780_IWATE_54015EW.AT2;6.9;20.77;345.55;normal;1.74
1499;RSN1499_CHICHI_TCU060-E.AT2;RSN1499_CHICHI_TCU060-N.AT2;7.62;8.51;375.42;reverse;2.92
1455;RSN1455_CHICHI_TAP094-N.AT2;RSN1455_CHICHI_TAP094-E.AT2;7.62;107.88;416.34;reverse;3.95
2655;RSN2655_CHICHI.03_TCU122N.AT2;RSN2655_CHICHI.03_TCU122E.AT2;6.2;18.1;475.46;normal;2.93
3645;RSN3645_SMART1.40_40M04EW.AT2;RSN3645_SMART1.40_40M04NS.AT2;6.32;58.7;306.38;normal;2.05
