Record Sequence Number;H1 Filename;H2 Filename;Magnitude;Rjb;Vs30;Mechanism;Scale Factors
1536;RSN1536_CHICHI_TCU110-E.AT2;RSN1536_CHICHI_TCU110-N.AT2;7.62;11.58;212.72;reverse;2.47
4891;RSN4891_CHUETSU_70026NS.AT2;RSN4891_CHUETSU_70026EW.AT2;6.8;64.2;591.2;normal;1.25
3474;RSN3474_CHICHI.06_TCU079N.AT2;RSN3474_CHICHI.06_TCU079E.AT2;6.3;1.04;363.99;normal;2.25
1231;RSN1231_CHICHI_CHY080-E.AT2;RSN1231_CHICHI_CHY080-N.AT2;7.62;0.11;496.21;reverse;0.71
4874;RSN4874_CHUETSU_65057NS.AT2;RSN4874_CHUETSU_65057EW.AT2;6.8;10.31;561.59;normal;1.45
8164;RSN8164_DUZCE_487-NS.AT2;RSN8164_DUZCE_487-EW.AT2;7.14;2.65;690.0;unspecified;3.86
342;RSN342_COALINGA.H_H-COH000.AT2;RSN342_COALINGA.H_H-COH090.AT2;6.36;36.14;211.74;normal;3.12
978;RSN978_NORTHR_WIL090.AT2;RSN978_NORTHR_WIL180.AT2;6.69;17.82;347.7;normal;3.15
558;RSN558_CHALFANT.A_A-ZAK270.AT2;RSN558_CHALFANT.A_A-ZAK360.AT2;6.19;6.44;316.19;unspecified;1.79
1116;RSN1116_KOBE_SHI000.AT2;RSN1116_KOBE_SHI090.AT2;6.9;19.14;256.0;unspecified;2.73
744;RSN744_LOMAP_BVW220.AT2;RSN744_LOMAP_BVW310.AT2;6.93;50.71;331.21;reverse;3.65
1419;RSN1419_CHICHI_TAP017-N.AT2;RSN1419_CHICHI_TAP017-E.AT2;7.62;97.69;217.83;reverse;3.91
4207;RSN4207_NIIGATA_NIG017NS.AT2;RSN4207_NIIGATA_NIG017EW.AT2;6.63;4.22;274.17;normal;3.05
3274;RSN3274_CHICHI.06_CHY035N.AT2;RSN3274_CHICHI.06_CHY035E.AT2;6.3;40.36;573.04;normal;3.59
6971;RSN6971_DARFIELD_SPFSN17E.AT2;RSN6971_DARFIELD_SPFSN73W.AT2;7.0;29.86;389.54;unspecified;3.29
963;RSN963_NORTHR_ORR090.AT2;RSN963_NORTHR_ORR360.AT2;6.69;20.11;450.28;normal;1.55
778;RSN778_LOMAP_HDA165.AT2;RSN778_LOMAP_HDA255.AT2;6.93;24.52;215.54;reverse;2.34
4862;RSN4862_CHUETSU_65035NS.AT2;RSN4862_CHUETSU_65035EW.AT2;6.8;10.61;336.93;normal;2.57
4480;RSN4480_L-AQUILA_GX066XTE.AT2;RSN4480_L-AQUILA_GX066YLN.AT2;6.3;0.0;475.0;strike-slip;2.44
5837;RSN5837_SIERRA.MEX_01711360.AT2;RSN5837_SIERRA.MEX_01711-90.AT2;7.2;19.39;229.25;unspecified;1.85
776;RSN776_LOMAP_HSP000.AT2;RSN776_LOMAP_HSP090.AT2;6.93;27.67;282.14;reverse;1.81
5806;RSN5806_IWATE_55461NS.AT2;RSN5806_IWATE_55461EW.AT2;6.9;22.41;655.45;normal;3.53
5991;RSN5991_SIERRA.MEX_E10320.AT2;RSN5991_SIERRA.MEX_E10230.AT2;7.2;19.36;202.85;unspecified;1.77
1292;RSN1292_CHICHI_HWA045-N.AT2;RSN1292_CHICHI_HWA045-W.AT2;7.62;60.2;484.45;reverse;3.1
4483;RSN4483_L-AQUILA_AM043XTE.AT2;RSN4483_L-AQUILA_AM043YLN.AT2;6.3;0.0;717.0;strike-slip;2.69
5823;RSN5823_SIERRA.MEX_CHI000.AT2;RSN5823_SIERRA.MEX_CHI090.AT2;7.2;18.21;242.05;unspecified;2.95
8134;RSN8134_CCHURCH_SMTCN88W.AT2;RSN8134_CCHURCH_SMTCS02W.AT2;6.2;11.24;247.5;reverse;3.65
988;RSN988_NORTHR_CCN090.AT2;RSN988_NORTHR_CCN360.AT2;6.69;15.53;277.98;normal;3.38
448;RSN448_MORGAN_AND250.AT2;RSN448_MORGAN_AND340.AT2;6.19;3.22;488.77;unspecified;3.25
2114;RSN2114_DENALI_PS10-047.AT2;RSN2114_DENALI_PS10-317.AT2;7.9;0.18;329.4;unspecified;1.7
