Record Sequence Number;H1 Filename;H2 Filename;Magnitude;Rjb;Vs30;Mechanism;Scale Factors
1536;RSN1536_CHICHI_TCU110-E.AT2;RSN1536_CHICHI_TCU110-N.AT2;7.62;11.58;212.72;reverse;1.98
1853;RSN1853_YOUNTVL_2016A090.AT2;RSN1853_YOUNTVL_2016B360.AT2;5.0;8.48;328.57;unspecified;2.51
4108;RSN4108_PARK2004_COH090.AT2;RSN4108_PARK2004_COH360.AT2;6.0;1.1;211.74;unspecified;3.01
3753;RSN3753_LANDERS_FVR045.AT2;RSN3753_LANDERS_FVR135.AT2;7.28;25.02;388.63;unspecified;3.46
595;RSN595_WHITTIER.A_A-JAB207.AT2;RSN595_WHITTIER.A_A-JAB297.AT2;5.99;10.31;267.13;reverse;3.31
724;RSN724_SUPER.B_B-PLS045.AT2;RSN724_SUPER.B_B-PLS135.AT2;6.54;22.25;316.64;unspecified;3.91
4349;RSN4349_UBMARCHE.P_A-CLF000.AT2;RSN4349_UBMARCHE.P_A-CLF270.AT2;6.0;0.8;317.0;strike-slip;3.34
5193;RSN5193_CHUETSU_NGN001NS.AT2;RSN5193_CHUETSU_NGN001EW.AT2;6.8;51.48;303.73;normal;3.33
4481;RSN4481_L-AQUILA_FA030XTE.AT2;RSN4481_L-AQUILA_FA030YLN.AT2;6.3;0.0;685.0;strike-slip;2.14
3654;RSN3654_SMART1.40_40O03EW.AT2;RSN3654_SMART1.40_40O03NS.AT2;6.32;59.74;278.32;normal;2.91
4840;RSN4840_CHUETSU_65003NS.AT2;RSN4840_CHUETSU_65003EW.AT2;6.8;28.97;334.01;normal;3.72
1419;RSN1419_CHICHI_TAP017-N.AT2;RSN1419_CHICHI_TAP017-E.AT2;7.62;97.69;217.83;reverse;3.13
5818;RSN5818_IWATE_48A61NS.AT2;RSN5818_IWATE_48A61EW.AT2;6.9;12.83;512.26;normal;1.52
1280;RSN1280_CHICHI_HWA031-E.AT2;RSN1280_CHICHI_HWA031-N.AT2;7.62;47.41;602.29;reverse;3.98
3300;RSN3300_CHICHI.06_CHY074N.AT2;RSN3300_CHICHI.06_CHY074E.AT2;6.3;27.57;553.43;normal;3.61
3672;RSN3672_SMART1.45_45M02EW.AT2;RSN3672_SMART1.45_45M02NS.AT2;7.3;56.66;306.78;normal;2.6
1634;RSN1634_MANJIL_184057.AT2;RSN1634_MANJIL_184327.AT2;7.37;75.58;302.64;unspecified;3.11
461;RSN461_MORGAN_HVR150.AT2;RSN461_MORGAN_HVR240.AT2;6.19;3.45;281.61;unspecified;2.61
4480;RSN4480_L-AQUILA_GX066XTE.AT2;RSN4480_L-AQUILA_GX066YLN.AT2;6.3;0.0;475.0;strike-slip;1.96
1052;RSN1052_NORTHR_PKC090.AT2;RSN1052_NORTHR_PKC360.AT2;6.69;5.26;508.08;normal;1.6
3658;RSN3658_SMART1.40_40O08EW.AT2;RSN3658_SMART1.40_40O08NS.AT2;6.32;56.85;357.43;normal;2.75
1500;RSN1500_CHICHI_TCU061-E.AT2;RSN1500_CHICHI_TCU061-N.AT2;7.62;17.17;379.64;reverse;3.06
4107;RSN4107_PARK2004_COW090.AT2;RSN4107_PARK2004_COW360.AT2;6.0;0.02;178.27;unspecified;1.05
1292;RSN1292_CHICHI_HWA045-N.AT2;RSN1292_CHICHI_HWA045-W.AT2;7.62;60.2;484.45;reverse;2.49
3965;RSN3965_TOTTORI_TTR008NS.AT2;RSN3965_TOTTORI_TTR008EW.AT2;6.61;6.86;139.21;unspecified;1.27
569;RSN569_SANSALV_NGI180.AT2;RSN569_SANSALV_NGI270.AT2;5.8;3.71;455.93;unspecified;1.12
4457;RSN4457_MONTENE.GRO_ULA000.AT2;RSN4457_MONTENE.GRO_ULA090.AT2;7.1;1.52;410.35;normal;2.79
529;RSN529_PALMSPR_NPS210.AT2;RSN529_PALMSPR_NPS300.AT2;6.06;0.0;344.67;reverse;1.57
4146;RSN4146_PARK2004_UP10090.AT2;RSN4146_PARK2004_UP10360.AT2;6.0;8.65;341.7;unspecified;3.78
777;RSN777_LOMAP_HCH090.AT2;RSN777_LOMAP_HCH180.AT2;6.93;27.33;198.77;reverse;1.71
