Record Sequence Number;H1 Filename;H2 Filename;Magnitude;Rjb;Vs30;Mechanism;Scale Factors
3772;RSN3772_NORTH392_WHGN235.AT2;RSN3772_NORTH392_WHGN325.AT2;5.28;16.89;413.81;normal;2.75
356;RSN356_COALINGA.H_H-SC2000.AT2;RSN356_COALINGA.H_H-SC2090.AT2;6.36;35.29;566.33;normal;0.81
9651;RSN9651_10410337_U5429360.AT2;RSN9651_10410337_U5429090.AT2;4.7;9.55;334.78;unspecified;2.22
4316;RSN4316_UMBRIA.P_I-PTL000.AT2;RSN4316_UMBRIA.P_I-PTL090.AT2;5.6;24.69;497.0;strike-slip;1.21
817;RSN817_GEORGIA_BAZ--X.AT2;RSN817_GEORGIA_BAZ--Y.AT2;6.2;42.11;476.62;normal;3.27
673;RSN673_WHITTIER.A_A-RO2090.AT2;RSN673_WHITTIER.A_A-RO2180.AT2;5.99;32.13;318.16;reverse;0.94
352;RSN352_COALINGA.H_H-PG3000.AT2;RSN352_COALINGA.H_H-PG3090.AT2;6.36;38.1;510.92;normal;0.56
4320;RSN4320_ABRUZZO.P_A-CSS000.AT2;RSN4320_ABRUZZO.P_A-CSS090.AT2;5.5;21.59;436.79;strike-slip;2.38
683;RSN683_WHITTIER.A_A-OLD000.AT2;RSN683_WHITTIER.A_A-OLD090.AT2;5.99;8.03;397.27;reverse;0.78
8486;RSN8486_PARK2004_NPHOBHNN.AT2;RSN8486_PARK2004_NPHOBHNE.AT2;6.0;4.51;376.0;unspecified;0.33
4848;RSN4848_CHUETSU_65011NS.AT2;RSN4848_CHUETSU_65011EW.AT2;6.8;16.77;414.23;normal;0.42
6381;RSN6381_TOTTORI.1_TKS005NS.AT2;RSN6381_TOTTORI.1_TKS005EW.AT2;6.61;163.22;515.0;unspecified;3.62
5660;RSN5660_IWATE_MYG001NS.AT2;RSN5660_IWATE_MYG001EW.AT2;6.9;52.06;559.76;normal;2.94
4131;RSN4131_PARK2004_VC1090.AT2;RSN4131_PARK2004_VC1360.AT2;6.0;1.0;284.21;unspecified;0.47
1060;RSN1060_NORTHR_CUC090.AT2;RSN1060_NORTHR_CUC180.AT2;6.69;79.83;509.1;normal;1.75
2787;RSN2787_CHICHI.04_HWA039N.AT2;RSN2787_CHICHI.04_HWA039E.AT2;6.2;49.83;459.67;unspecified;3.54
2966;RSN2966_CHICHI.05_CHY062N.AT2;RSN2966_CHICHI.05_CHY062E.AT2;6.2;91.15;602.63;normal;2.24
8892;RSN8892_14383980_14869360.AT2;RSN8892_14383980_14869090.AT2;5.39;32.3;243.55;reverse;0.95
199;RSN199_IMPVALL.A_A-E11140.AT2;RSN199_IMPVALL.A_A-E11230.AT2;5.01;13.61;196.25;unspecified;1.02
3226;RSN3226_CHICHI.05_TTN003N.AT2;RSN3226_CHICHI.05_TTN003W.AT2;6.2;124.04;506.64;normal;3.71
5838;RSN5838_SIERRA.MEX_01794360.AT2;RSN5838_SIERRA.MEX_01794270.AT2;7.2;28.53;186.21;unspecified;0.42
2722;RSN2722_CHICHI.04_CHY058N.AT2;RSN2722_CHICHI.04_CHY058E.AT2;6.2;67.9;269.28;unspecified;1.72
1050;RSN1050_NORTHR_PAC175.AT2;RSN1050_NORTHR_PAC265.AT2;6.69;4.92;2016.13;normal;0.26
2226;RSN2226_CHICHI.02_HWA017N.AT2;RSN2226_CHICHI.02_HWA017E.AT2;5.9;41.89;578.11;normal;2.99
3283;RSN3283_CHICHI.06_CHY050N.AT2;RSN3283_CHICHI.06_CHY050E.AT2;6.3;71.64;538.93;normal;1.92
951;RSN951_NORTHR_JAB220.AT2;RSN951_NORTHR_JAB310.AT2;6.69;41.27;267.13;normal;0.76
4137;RSN4137_PARK2004_VC6090.AT2;RSN4137_PARK2004_VC6360.AT2;6.0;13.33;392.24;unspecified;0.92
624;RSN624_WHITTIER.A_A-HNT270.AT2;RSN624_WHITTIER.A_A-HNT360.AT2;5.99;42.16;315.52;reverse;3.1
521;RSN521_PALMSPR_HCP045.AT2;RSN521_PALMSPR_HCP135.AT2;6.06;29.56;407.61;reverse;1.21
1821;RSN1821_HECTOR_PMN090.AT2;RSN1821_HECTOR_PMN360.AT2;7.13;143.36;384.44;unspecified;1.54
